범죄대분류,범죄중분류,도시,발생수,발생년도
강력범죄,살인기수,서울,46,2016
강력범죄,살인미수등,서울,100,2016
강력범죄,강도,서울,260,2016
강력범죄,강간,서울,1129,2016
강력범죄,유사강간,서울,123,2016
강력범죄,강제추행,서울,4667,2016
강력범죄,기타 강간  강제추행등,서울,72,2016
강력범죄,방화,서울,286,2016
절도범죄,절도범죄,서울,46861,2016
폭력범죄,상해,서울,6949,2016
폭력범죄,폭행,서울,39337,2016
폭력범죄,체포  감금,서울,268,2016
폭력범죄,협박,서울,3036,2016
폭력범죄,약취  유인,서울,35,2016
폭력범죄,폭력행위등,서울,2615,2016
폭력범죄,공갈,서울,694,2016
폭력범죄,손괴,서울,11667,2016
지능범죄,직무유기,서울,111,2016
지능범죄,직권남용,서울,129,2016
지능범죄,증수뢰,서울,45,2016
지능범죄,통화,서울,867,2016
지능범죄,문서  인장,서울,2932,2016
지능범죄,유가증권인지,서울,101,2016
지능범죄,사기,서울,51561,2016
지능범죄,횡령,서울,15367,2016
지능범죄,배임,서울,1024,2016
풍속범죄,성풍속범죄,서울,3498,2016
풍속범죄,도박범죄,서울,2149,2016
특별경제범죄,특별경제범죄,서울,17109,2016
마약범죄,마약범죄,서울,1449,2016
보건범죄,보건범죄,서울,3875,2016
환경범죄,환경범죄,서울,58,2016
교통범죄,교통범죄,서울,74270,2016
노동범죄,노동범죄,서울,509,2016
안보범죄,안보범죄,서울,19,2016
선거범죄,선거범죄,서울,180,2016
병역범죄,병역범죄,서울,4120,2016
기타범죄,기타범죄,서울,44407,2016
강력범죄,살인기수,부산,29,2016
강력범죄,살인미수등,부산,43,2016
강력범죄,강도,부산,137,2016
강력범죄,강간,부산,314,2016
강력범죄,유사강간,부산,28,2016
강력범죄,강제추행,부산,951,2016
강력범죄,기타 강간  강제추행등,부산,30,2016
강력범죄,방화,부산,98,2016
절도범죄,절도범죄,부산,16777,2016
폭력범죄,상해,부산,4637,2016
폭력범죄,폭행,부산,9749,2016
폭력범죄,체포  감금,부산,77,2016
폭력범죄,협박,부산,1031,2016
폭력범죄,약취  유인,부산,20,2016
폭력범죄,폭력행위등,부산,1052,2016
폭력범죄,공갈,부산,416,2016
폭력범죄,손괴,부산,3462,2016
지능범죄,직무유기,부산,64,2016
지능범죄,직권남용,부산,34,2016
지능범죄,증수뢰,부산,28,2016
지능범죄,통화,부산,53,2016
지능범죄,문서  인장,부산,1212,2016
지능범죄,유가증권인지,부산,6,2016
지능범죄,사기,부산,20372,2016
지능범죄,횡령,부산,2971,2016
지능범죄,배임,부산,312,2016
풍속범죄,성풍속범죄,부산,1064,2016
풍속범죄,도박범죄,부산,1137,2016
특별경제범죄,특별경제범죄,부산,8134,2016
마약범죄,마약범죄,부산,963,2016
보건범죄,보건범죄,부산,2365,2016
환경범죄,환경범죄,부산,223,2016
교통범죄,교통범죄,부산,32944,2016
노동범죄,노동범죄,부산,209,2016
안보범죄,안보범죄,부산,6,2016
선거범죄,선거범죄,부산,60,2016
병역범죄,병역범죄,부산,662,2016
기타범죄,기타범죄,부산,22296,2016
강력범죄,살인기수,대구,17,2016
강력범죄,살인미수등,대구,12,2016
강력범죄,강도,대구,51,2016
강력범죄,강간,대구,197,2016
강력범죄,유사강간,대구,37,2016
강력범죄,강제추행,대구,632,2016
강력범죄,기타 강간  강제추행등,대구,14,2016
강력범죄,방화,대구,68,2016
절도범죄,절도범죄,대구,9171,2016
폭력범죄,상해,대구,2863,2016
폭력범죄,폭행,대구,7457,2016
폭력범죄,체포  감금,대구,47,2016
폭력범죄,협박,대구,600,2016
폭력범죄,약취  유인,대구,8,2016
폭력범죄,폭력행위등,대구,534,2016
폭력범죄,공갈,대구,192,2016
폭력범죄,손괴,대구,2856,2016
지능범죄,직무유기,대구,31,2016
지능범죄,직권남용,대구,23,2016
지능범죄,증수뢰,대구,9,2016
지능범죄,통화,대구,39,2016
지능범죄,문서  인장,대구,558,2016
지능범죄,유가증권인지,대구,4,2016
지능범죄,사기,대구,10547,2016
지능범죄,횡령,대구,1892,2016
지능범죄,배임,대구,124,2016
풍속범죄,성풍속범죄,대구,643,2016
풍속범죄,도박범죄,대구,943,2016
특별경제범죄,특별경제범죄,대구,2756,2016
마약범죄,마약범죄,대구,334,2016
보건범죄,보건범죄,대구,289,2016
환경범죄,환경범죄,대구,11,2016
교통범죄,교통범죄,대구,31682,2016
노동범죄,노동범죄,대구,96,2016
